CustomerID,Age,Gender,Location,Occupation,MembershipLevel,TotalPurchases,TotalSpent,FavouriteCategory,LastPurchaseDate,PaymentMethod,Churn
2,42,Male,Kuala Lumpur,Pharmacy,Silver,6,5297.0,Electronics,7/3/2023,Credit Card,0.0
8,66,Male,Terengganu,Education,Silver,14,12359.0,Electronics,8/19/2023,Credit Card,0.0
9,39,Male,Putrajaya,Writing,Silver,3,2162.0,Home,4/25/2023,Cash,0.0
10,49,Female,Terengganu,Healthcare,Platinum,10,9181.0,Electronics,5/6/2023,Credit Card,0.0
11,67,Female,Malacca,Fitness,Bronze,10,4248.0,Home,6/3/2023,Credit Card,1.0
12,31,Female,Sabah,Pharmacy,Bronze,7,4931.0,Books,5/23/2023,Credit Card,0.0
16,67,Male,Sabah,Arts,Silver,1,5287.0,Books,5/31/2023,Credit Card,0.0
17,32,Male,Kelantan,Entrepreneurship,Bronze,11,7777.0,Books,6/3/2023,Credit Card,0.0
20,42,Female,Kedah,Entrepreneurship,Platinum,4,3055.0,Clothing,6/29/2023,Cash,0.0
22,40,Female,Johor,Finance,Platinum,3,1318.0,Clothing,8/31/2023,TnG,0.0
27,45,Female,Malacca,Human Resources,Bronze,3,4639.0,Home,1/17/2023,Credit Card,1.0
30,33,Male,Kedah,Photography,Platinum,4,2013.0,Books,7/18/2023,TnG,1.0
38,44,Male,Negeri Sembilan,Student,Platinum,3,3830.0,Electronics,1/20/2023,Credit Card,0.0
41,70,Male,Penang,Education,Bronze,3,4734.0,Home,1/21/2023,Credit Card,0.0
42,22,Female,Sarawak,Architecture,Bronze,11,9298.0,Home,8/25/2023,Credit Card,0.0
43,60,Female,Negeri Sembilan,Engineering,Gold,3,3378.0,Home,5/16/2023,TnG,0.0
44,28,Male,Kelantan,Education,Bronze,4,3926.0,Clothing,7/7/2023,Credit Card,0.0
45,70,Female,Selangor,Education,Gold,1,3036.0,Books,8/24/2023,Credit Card,1.0
47,18,Male,Sarawak,Student,Silver,4,4079.0,Home,1/15/2023,Credit Card,0.0
50,38,Female,Selangor,Customer Service,Bronze,2,740.0,Home,2/27/2023,Credit Card,0.0
53,23,Female,Penang,Journalism,Platinum,2,303.0,Clothing,3/27/2023,Cash,0.0
58,59,Female,Perak,Engineering,Platinum,4,3693.0,Books,4/10/2023,Credit Card,0.0
59,39,Female,Sarawak,Business Analysis,Gold,1,3251.0,Home,7/19/2023,Credit Card,1.0
65,32,Male,Negeri Sembilan,Information Technology,Gold,2,1515.0,Home,7/9/2023,Credit Card,1.0
66,53,Male,Kuala Lumpur,Architecture,Bronze,6,7198.0,Electronics,7/28/2023,Credit Card,0.0
72,25,Female,Terengganu,Engineering,Silver,5,1895.0,Books,4/1/2023,Credit Card,0.0
75,65,Female,Selangor,Business Analysis,Gold,1,2619.0,Clothing,2/17/2023,Credit Card,0.0
76,40,Female,Perlis,Design,Gold,4,4626.0,Electronics,6/3/2023,Credit Card,0.0
82,21,Male,Sabah,Social Work,Bronze,3,1111.0,Books,6/7/2023,Cash,0.0
83,24,Male,Selangor,Healthcare,Bronze,5,434.0,Home,4/8/2023,Credit Card,0.0
85,27,Female,Johor,Student,Silver,3,3502.0,Books,1/3/2023,Credit Card,0.0
87,46,Female,Pahang,Human Resources,Silver,3,3323.0,Home,1/13/2023,Cash,0.0
89,24,Female,Perlis,Business Analysis,Platinum,1,3545.0,Books,9/11/2023,Credit Card,1.0
91,54,Male,Malacca,Business Analysis,Gold,7,3746.0,Clothing,6/14/2023,Credit Card,0.0
94,38,Male,Selangor,Journalism,Silver,3,3127.0,Books,6/17/2023,Credit Card,0.0
96,25,Female,Sabah,Event Planning,Silver,7,9366.0,Clothing,9/12/2023,Credit Card,0.0
97,33,Female,Sabah,Business Analysis,Platinum,4,4176.0,Clothing,1/22/2023,Credit Card,1.0
98,55,Female,Perlis,Marketing,Gold,3,1846.0,Electronics,2/3/2023,Cash,1.0
100,20,Male,Pahang,Design,Silver,12,12319.0,Electronics,8/22/2023,Credit Card,0.0
101,58,Female,Negeri Sembilan,Real Estate,Gold,13,16409.0,Electronics,5/14/2023,Credit Card,0.0
103,59,Female,Kuala Lumpur,Business Analysis,Platinum,8,7159.0,Books,6/17/2023,Credit Card,0.0
105,30,Female,Sarawak,Medicine,Silver,3,1666.0,Books,2/10/2023,TnG,1.0
109,60,Female,Penang,Entrepreneurship,Gold,3,627.0,Books,5/29/2023,TnG,0.0
116,55,Female,Sarawak,Business Analysis,Gold,2,4457.0,Clothing,8/8/2023,Credit Card,0.0
117,49,Male,Negeri Sembilan,Plumbing,Silver,10,8552.0,Books,8/16/2023,Credit Card,0.0
118,65,Male,Negeri Sembilan,Journalism,Silver,4,1914.0,Books,2/13/2023,TnG,0.0
123,64,Male,Malacca,Fitness,Platinum,10,9479.0,Home,8/18/2023,Credit Card,0.0
125,46,Male,Pahang,Plumbing,Platinum,6,5927.0,Clothing,8/8/2023,Credit Card,0.0
129,60,Male,Penang,Entrepreneurship,Bronze,2,2339.0,Clothing,3/5/2023,TnG,1.0
132,22,Male,Kuala Lumpur,Law Enforcement,Platinum,5,5059.0,Home,1/11/2023,Credit Card,0.0
133,61,Male,Selangor,Journalism,Platinum,9,7166.0,Clothing,9/6/2023,Credit Card,1.0
134,69,Female,Perak,Real Estate,Silver,9,7015.0,Home,3/11/2023,Credit Card,0.0
138,19,Female,Kedah,Event Planning,Silver,3,2549.0,Clothing,1/25/2023,Credit Card,0.0
139,21,Male,Malacca,Plumbing,Bronze,6,7255.0,Books,7/8/2023,Credit Card,1.0
140,55,Female,Terengganu,Engineering,Bronze,2,3124.0,Clothing,4/30/2023,Credit Card,0.0
143,50,Female,Perak,Student,Platinum,5,4143.0,Home,3/19/2023,Credit Card,0.0
144,40,Male,Selangor,Construction,Silver,2,6458.0,Books,7/23/2023,Credit Card,0.0
145,48,Male,Penang,Journalism,Platinum,5,3643.0,Home,4/24/2023,Credit Card,0.0
147,49,Male,Kedah,Human Resources,Silver,7,5557.0,Electronics,4/20/2023,Credit Card,0.0
149,40,Male,Terengganu,Information Technology,Gold,5,4895.0,Home,2/23/2023,Credit Card,0.0
150,68,Female,Johor,Design,Silver,3,1743.0,Home,8/23/2023,Cash,0.0
156,60,Male,Perlis,Fitness,Platinum,6,7008.0,Electronics,5/23/2023,Credit Card,0.0
157,31,Female,Kedah,Event Planning,Bronze,4,4095.0,Electronics,8/1/2023,Credit Card,0.0
159,35,Female,Perak,Human Resources,Silver,6,3268.0,Home,6/23/2023,Credit Card,0.0
169,21,Male,Johor,Construction,Bronze,2,3737.0,Clothing,3/21/2023,Credit Card,0.0
170,40,Male,Kuala Lumpur,Real Estate,Bronze,8,7600.0,Clothing,8/1/2023,Credit Card,0.0
174,39,Female,Sarawak,Dentistry,Silver,7,3347.0,Books,8/5/2023,TnG,0.0
175,31,Male,Perak,Engineering,Platinum,2,2247.0,Home,2/1/2023,Credit Card,0.0
177,27,Male,Sarawak,Design,Platinum,5,4082.0,Home,6/14/2023,Credit Card,0.0
178,35,Female,Perlis,Photography,Silver,4,3159.0,Electronics,4/17/2023,Credit Card,0.0
179,29,Female,Penang,Journalism,Gold,5,3729.0,Clothing,9/3/2023,Credit Card,0.0
180,55,Male,Selangor,Medicine,Gold,4,473.0,Electronics,7/15/2023,Credit Card,1.0
181,60,Female,Sabah,Medicine,Platinum,1,1371.0,Electronics,1/19/2023,Cash,0.0
185,19,Male,Perak,Photography,Platinum,1,2665.0,Books,3/28/2023,Cash,0.0
188,32,Female,Kuala Lumpur,Dentistry,Silver,10,6825.0,Clothing,7/12/2023,Credit Card,1.0
192,70,Female,Kelantan,Arts,Platinum,1,5013.0,Clothing,8/1/2023,Credit Card,1.0
193,26,Male,Pahang,Arts,Platinum,4,1259.0,Home,6/22/2023,TnG,0.0
194,63,Female,Johor,Plumbing,Platinum,1,698.0,Electronics,8/24/2023,Cash,0.0
197,19,Male,Perak,Law Enforcement,Gold,3,3742.0,Home,3/15/2023,Credit Card,0.0
198,55,Female,Perlis,Healthcare,Platinum,4,4281.0,Home,4/28/2023,Credit Card,0.0
200,56,Male,Johor,Photography,Gold,12,7333.0,Clothing,6/8/2023,Credit Card,1.0
201,38,Female,Negeri Sembilan,Plumbing,Platinum,4,1546.0,Home,8/31/2023,Cash,0.0
202,49,Female,Sabah,Real Estate,Silver,2,5003.0,Electronics,3/27/2023,Credit Card,0.0
204,56,Female,Terengganu,Architecture,Gold,2,5931.0,Electronics,6/29/2023,Credit Card,0.0
205,60,Female,Putrajaya,Real Estate,Silver,17,7911.0,Home,4/19/2023,Credit Card,0.0
206,25,Male,Sarawak,Real Estate,Gold,6,11887.0,Clothing,8/11/2023,Credit Card,0.0
207,46,Male,Sabah,Dentistry,Platinum,3,4228.0,Clothing,2/12/2023,Credit Card,0.0
209,66,Male,Kedah,Human Resources,Gold,1,4623.0,Electronics,9/7/2023,Credit Card,0.0
210,37,Female,Terengganu,Design,Silver,5,5335.0,Electronics,8/25/2023,Credit Card,0.0
211,19,Female,Putrajaya,Design,Platinum,1,1429.0,Home,5/4/2023,Cash,0.0
212,50,Female,Kedah,Student,Bronze,3,674.0,Books,5/22/2023,TnG,0.0
214,42,Female,Putrajaya,Social Work,Silver,7,6587.0,Clothing,2/20/2023,Credit Card,0.0
216,47,Male,Negeri Sembilan,Social Work,Gold,5,4980.0,Home,6/13/2023,Credit Card,0.0
217,25,Female,Penang,Law Enforcement,Bronze,8,4059.0,Clothing,5/18/2023,Credit Card,1.0
220,68,Male,Sabah,Medicine,Platinum,2,2884.0,Clothing,2/17/2023,Cash,1.0
222,31,Female,Selangor,Arts,Bronze,2,3090.0,Clothing,4/27/2023,TnG,0.0
223,67,Female,Sabah,Law Enforcement,Platinum,9,5165.0,Electronics,8/17/2023,Credit Card,0.0
224,65,Female,Malacca,Fitness,Platinum,5,5592.0,Home,7/1/2023,Credit Card,1.0
225,50,Female,Johor,Finance,Gold,5,2025.0,Home,9/11/2023,Cash,0.0
226,56,Female,Kuala Lumpur,Education,Silver,5,8853.0,Electronics,8/3/2023,Credit Card,0.0
228,60,Female,Sarawak,Event Planning,Bronze,1,5136.0,Home,5/8/2023,Credit Card,0.0
230,31,Female,Kedah,Medicine,Platinum,8,6372.0,Home,8/1/2023,Credit Card,0.0
234,48,Female,Malacca,Fitness,Gold,2,1354.0,Home,7/11/2023,Credit Card,0.0
236,27,Male,Sarawak,Architecture,Gold,5,1911.0,Clothing,6/17/2023,Credit Card,0.0
238,52,Female,Kelantan,Healthcare,Bronze,5,3265.0,Home,8/17/2023,Cash,0.0
239,57,Male,Putrajaya,Student,Platinum,3,4620.0,Home,1/17/2023,Credit Card,0.0
240,29,Male,Malacca,Piloting,Platinum,4,219.0,Home,3/17/2023,Cash,0.0
241,41,Male,Penang,Business Analysis,Bronze,4,2503.0,Home,2/19/2023,Credit Card,0.0
242,57,Female,Negeri Sembilan,Education,Platinum,3,782.0,Clothing,4/6/2023,Credit Card,1.0
246,57,Female,Kelantan,Design,Bronze,6,6391.0,Electronics,5/22/2023,Credit Card,0.0
248,51,Female,Perak,Construction,Gold,6,7748.0,Home,2/12/2023,Credit Card,0.0
250,43,Male,Penang,Photography,Gold,8,9059.0,Books,6/9/2023,Credit Card,1.0
251,68,Female,Perlis,Fitness,Platinum,9,3442.0,Clothing,8/8/2023,TnG,0.0
253,23,Male,Malacca,Fitness,Bronze,2,4813.0,Books,7/29/2023,Credit Card,0.0
258,32,Male,Malacca,Social Work,Platinum,4,2424.0,Electronics,7/5/2023,Credit Card,0.0
259,70,Female,Kedah,Law Enforcement,Bronze,1,3879.0,Books,3/8/2023,Credit Card,0.0
260,41,Female,Sarawak,Plumbing,Gold,4,2764.0,Books,6/19/2023,Cash,0.0
262,70,Male,Perlis,Plumbing,Bronze,1,1337.0,Clothing,4/27/2023,Cash,0.0
263,38,Male,Terengganu,Education,Platinum,2,2989.0,Clothing,7/5/2023,Credit Card,1.0
264,69,Female,Pahang,Social Work,Silver,11,10078.0,Clothing,3/8/2023,Credit Card,0.0
265,53,Male,Terengganu,Business Analysis,Gold,16,13962.0,Books,6/22/2023,Credit Card,0.0
266,31,Female,Perak,Real Estate,Gold,8,2758.0,Books,8/5/2023,TnG,0.0
267,64,Female,Negeri Sembilan,Healthcare,Silver,10,6342.0,Books,8/19/2023,Credit Card,1.0
269,57,Male,Sabah,Healthcare,Bronze,3,3558.0,Home,3/14/2023,Credit Card,0.0
270,68,Female,Penang,Dentistry,Platinum,7,5005.0,Clothing,9/9/2023,Credit Card,1.0
271,54,Male,Negeri Sembilan,Education,Gold,3,5002.0,Clothing,7/19/2023,Credit Card,1.0
273,68,Male,Pahang,Photography,Bronze,4,1052.0,Electronics,2/5/2023,TnG,0.0
275,70,Female,Putrajaya,Student,Bronze,5,1438.0,Electronics,8/17/2023,Cash,0.0
278,18,Male,Perak,Plumbing,Gold,6,8363.0,Books,9/8/2023,Credit Card,0.0
281,61,Male,Negeri Sembilan,Arts,Gold,1,2440.0,Home,2/18/2023,TnG,0.0
282,62,Male,Terengganu,Architecture,Silver,4,2693.0,Electronics,5/28/2023,Cash,0.0
283,38,Male,Kelantan,Event Planning,Bronze,4,3331.0,Home,2/8/2023,Credit Card,0.0
288,33,Male,Kuala Lumpur,Social Work,Silver,7,5553.0,Clothing,6/25/2023,Credit Card,0.0
291,32,Male,Terengganu,Dentistry,Gold,2,2513.0,Home,1/4/2023,TnG,0.0
293,51,Female,Perak,Law Enforcement,Bronze,6,4157.0,Electronics,5/30/2023,Credit Card,0.0
294,20,Female,Sabah,Education,Silver,3,3707.0,Clothing,3/11/2023,Credit Card,0.0
297,57,Male,Putrajaya,Finance,Platinum,5,8283.0,Home,7/30/2023,Credit Card,0.0
298,39,Female,Sabah,Human Resources,Platinum,12,6212.0,Electronics,6/29/2023,Credit Card,0.0
300,25,Male,Putrajaya,Student,Bronze,7,1084.0,Home,5/7/2023,Cash,0.0
303,26,Male,Johor,Event Planning,Platinum,3,4730.0,Books,3/28/2023,Credit Card,1.0
304,49,Male,Kuala Lumpur,Dentistry,Bronze,3,2516.0,Home,4/25/2023,Credit Card,1.0
308,69,Male,Terengganu,Research,Platinum,4,5242.0,Electronics,8/31/2023,Credit Card,0.0
310,37,Male,Pahang,Customer Service,Bronze,6,8710.0,Books,8/26/2023,Credit Card,0.0
313,40,Female,Johor,Engineering,Platinum,7,10528.0,Books,8/28/2023,Credit Card,0.0
314,31,Female,Perak,Student,Gold,1,3000.0,Home,7/1/2023,Credit Card,0.0
316,24,Male,Johor,Design,Gold,2,667.0,Electronics,3/21/2023,TnG,0.0
318,55,Male,Perlis,Photography,Gold,7,7837.0,Clothing,5/31/2023,Credit Card,0.0
319,29,Female,Johor,Engineering,Platinum,5,4219.0,Electronics,3/28/2023,Credit Card,0.0
320,61,Male,Sarawak,Construction,Gold,5,2437.0,Home,6/9/2023,TnG,0.0
323,63,Female,Perak,Piloting,Bronze,1,4057.0,Home,1/10/2023,Credit Card,0.0
324,21,Female,Malacca,Piloting,Bronze,4,893.0,Books,9/12/2023,TnG,0.0
