"CustomerID","Age","Gender","Location","Occupation","MembershipLevel","TotalPurchases","TotalSpent","FavouriteCategory","LastPurchaseDate","PaymentMethod","Churn"
"2","42","Male","Kuala Lumpur","Pharmacy","Silver","6","5297","Electronics","7/3/2023","Credit Card","0"
"8","66","Male","Terengganu","Education","Silver","14","12359","Electronics","8/19/2023","Credit Card","0"
"9","39","Male","Putrajaya","Writing","Silver","3","2162","Home","4/25/2023","Cash","0"
"10","49","Female","Terengganu","Healthcare","Platinum","10","9181","Electronics","5/6/2023","Credit Card","0"
"11","67","Female","Malacca","Fitness","Bronze","10","4248","Home","6/3/2023","Credit Card","1"
"12","31","Female","Sabah","Pharmacy","Bronze","7","4931","Books","5/23/2023","Credit Card","0"
"16","67","Male","Sabah","Arts","Silver","1","5287","Books","5/31/2023","Credit Card","0"
"17","32","Male","Kelantan","Entrepreneurship","Bronze","11","7777","Books","6/3/2023","Credit Card","0"
"20","42","Female","Kedah","Entrepreneurship","Platinum","4","3055","Clothing","6/29/2023","Cash","0"
"22","40","Female","Johor","Finance","Platinum","3","1318","Clothing","8/31/2023","TnG","0"
"27","45","Female","Malacca","Human Resources","Bronze","3","4639","Home","1/17/2023","Credit Card","1"
"30","33","Male","Kedah","Photography","Platinum","4","2013","Books","7/18/2023","TnG","1"
"38","44","Male","Negeri Sembilan","Student","Platinum","3","3830","Electronics","1/20/2023","Credit Card","0"
"41","70","Male","Penang","Education","Bronze","3","4734","Home","1/21/2023","Credit Card","0"
"42","22","Female","Sarawak","Architecture","Bronze","11","9298","Home","8/25/2023","Credit Card","0"
"43","60","Female","Negeri Sembilan","Engineering","Gold","3","3378","Home","5/16/2023","TnG","0"
"44","28","Male","Kelantan","Education","Bronze","4","3926","Clothing","7/7/2023","Credit Card","0"
"45","70","Female","Selangor","Education","Gold","1","3036","Books","8/24/2023","Credit Card","1"
"47","18","Male","Sarawak","Student","Silver","4","4079","Home","1/15/2023","Credit Card","0"
"50","38","Female","Selangor","Customer Service","Bronze","2","740","Home","2/27/2023","Credit Card","0"
"53","23","Female","Penang","Journalism","Platinum","2","303","Clothing","3/27/2023","Cash","0"
"58","59","Female","Perak","Engineering","Platinum","4","3693","Books","4/10/2023","Credit Card","0"
"59","39","Female","Sarawak","Business Analysis","Gold","1","3251","Home","7/19/2023","Credit Card","1"
"65","32","Male","Negeri Sembilan","Information Technology","Gold","2","1515","Home","7/9/2023","Credit Card","1"
"66","53","Male","Kuala Lumpur","Architecture","Bronze","6","7198","Electronics","7/28/2023","Credit Card","0"
"72","25","Female","Terengganu","Engineering","Silver","5","1895","Books","4/1/2023","Credit Card","0"
"75","65","Female","Selangor","Business Analysis","Gold","1","2619","Clothing","2/17/2023","Credit Card","0"
"76","40","Female","Perlis","Design","Gold","4","4626","Electronics","6/3/2023","Credit Card","0"
"82","21","Male","Sabah","Social Work","Bronze","3","1111","Books","6/7/2023","Cash","0"
"83","24","Male","Selangor","Healthcare","Bronze","5","434","Home","4/8/2023","Credit Card","0"
"85","27","Female","Johor","Student","Silver","3","3502","Books","1/3/2023","Credit Card","0"
"87","46","Female","Pahang","Human Resources","Silver","3","3323","Home","1/13/2023","Cash","0"
"89","24","Female","Perlis","Business Analysis","Platinum","1","3545","Books","9/11/2023","Credit Card","1"
"91","54","Male","Malacca","Business Analysis","Gold","7","3746","Clothing","6/14/2023","Credit Card","0"
"94","38","Male","Selangor","Journalism","Silver","3","3127","Books","6/17/2023","Credit Card","0"
"96","25","Female","Sabah","Event Planning","Silver","7","9366","Clothing","9/12/2023","Credit Card","0"
"97","33","Female","Sabah","Business Analysis","Platinum","4","4176","Clothing","1/22/2023","Credit Card","1"
"98","55","Female","Perlis","Marketing","Gold","3","1846","Electronics","2/3/2023","Cash","1"
"100","20","Male","Pahang","Design","Silver","12","12319","Electronics","8/22/2023","Credit Card","0"
"101","58","Female","Negeri Sembilan","Real Estate","Gold","13","16409","Electronics","5/14/2023","Credit Card","0"
"103","59","Female","Kuala Lumpur","Business Analysis","Platinum","8","7159","Books","6/17/2023","Credit Card","0"
"105","30","Female","Sarawak","Medicine","Silver","3","1666","Books","2/10/2023","TnG","1"
"109","60","Female","Penang","Entrepreneurship","Gold","3","627","Books","5/29/2023","TnG","0"
"116","55","Female","Sarawak","Business Analysis","Gold","2","4457","Clothing","8/8/2023","Credit Card","0"
"117","49","Male","Negeri Sembilan","Plumbing","Silver","10","8552","Books","8/16/2023","Credit Card","0"
"118","65","Male","Negeri Sembilan","Journalism","Silver","4","1914","Books","2/13/2023","TnG","0"
"123","64","Male","Malacca","Fitness","Platinum","10","9479","Home","8/18/2023","Credit Card","0"
"125","46","Male","Pahang","Plumbing","Platinum","6","5927","Clothing","8/8/2023","Credit Card","0"
"129","60","Male","Penang","Entrepreneurship","Bronze","2","2339","Clothing","3/5/2023","TnG","1"
"132","22","Male","Kuala Lumpur","Law Enforcement","Platinum","5","5059","Home","1/11/2023","Credit Card","0"
"133","61","Male","Selangor","Journalism","Platinum","9","7166","Clothing","9/6/2023","Credit Card","1"
"134","69","Female","Perak","Real Estate","Silver","9","7015","Home","3/11/2023","Credit Card","0"
"138","19","Female","Kedah","Event Planning","Silver","3","2549","Clothing","1/25/2023","Credit Card","0"
"139","21","Male","Malacca","Plumbing","Bronze","6","7255","Books","7/8/2023","Credit Card","1"
"140","55","Female","Terengganu","Engineering","Bronze","2","3124","Clothing","4/30/2023","Credit Card","0"
"143","50","Female","Perak","Student","Platinum","5","4143","Home","3/19/2023","Credit Card","0"
"144","40","Male","Selangor","Construction","Silver","2","6458","Books","7/23/2023","Credit Card","0"
"145","48","Male","Penang","Journalism","Platinum","5","3643","Home","4/24/2023","Credit Card","0"
"147","49","Male","Kedah","Human Resources","Silver","7","5557","Electronics","4/20/2023","Credit Card","0"
"149","40","Male","Terengganu","Information Technology","Gold","5","4895","Home","2/23/2023","Credit Card","0"
"150","68","Female","Johor","Design","Silver","3","1743","Home","8/23/2023","Cash","0"
"156","60","Male","Perlis","Fitness","Platinum","6","7008","Electronics","5/23/2023","Credit Card","0"
"157","31","Female","Kedah","Event Planning","Bronze","4","4095","Electronics","8/1/2023","Credit Card","0"
"159","35","Female","Perak","Human Resources","Silver","6","3268","Home","6/23/2023","Credit Card","0"
"169","21","Male","Johor","Construction","Bronze","2","3737","Clothing","3/21/2023","Credit Card","0"
"170","40","Male","Kuala Lumpur","Real Estate","Bronze","8","7600","Clothing","8/1/2023","Credit Card","0"
"174","39","Female","Sarawak","Dentistry","Silver","7","3347","Books","8/5/2023","TnG","0"
"175","31","Male","Perak","Engineering","Platinum","2","2247","Home","2/1/2023","Credit Card","0"
"177","27","Male","Sarawak","Design","Platinum","5","4082","Home","6/14/2023","Credit Card","0"
"178","35","Female","Perlis","Photography","Silver","4","3159","Electronics","4/17/2023","Credit Card","0"
"179","29","Female","Penang","Journalism","Gold","5","3729","Clothing","9/3/2023","Credit Card","0"
"180","55","Male","Selangor","Medicine","Gold","4","473","Electronics","7/15/2023","Credit Card","1"
"181","60","Female","Sabah","Medicine","Platinum","1","1371","Electronics","1/19/2023","Cash","0"
"185","19","Male","Perak","Photography","Platinum","1","2665","Books","3/28/2023","Cash","0"
"188","32","Female","Kuala Lumpur","Dentistry","Silver","10","6825","Clothing","7/12/2023","Credit Card","1"
"192","70","Female","Kelantan","Arts","Platinum","1","5013","Clothing","8/1/2023","Credit Card","1"
"193","26","Male","Pahang","Arts","Platinum","4","1259","Home","6/22/2023","TnG","0"
"194","63","Female","Johor","Plumbing","Platinum","1","698","Electronics","8/24/2023","Cash","0"
"197","19","Male","Perak","Law Enforcement","Gold","3","3742","Home","3/15/2023","Credit Card","0"
"198","55","Female","Perlis","Healthcare","Platinum","4","4281","Home","4/28/2023","Credit Card","0"
"200","56","Male","Johor","Photography","Gold","12","7333","Clothing","6/8/2023","Credit Card","1"
"201","38","Female","Negeri Sembilan","Plumbing","Platinum","4","1546","Home","8/31/2023","Cash","0"
"202","49","Female","Sabah","Real Estate","Silver","2","5003","Electronics","3/27/2023","Credit Card","0"
