CustomerID,Age,Gender,Location,Occupation,MembershipLevel,TotalPurchases,TotalSpent,FavouriteCategory,LastPurchaseDate,PaymentMethod,Churn
30210,62,Female,Selangor,Finance,Gold,9,19342,Clothing,3/16/2023,Credit Card,0
30211,39,Female,Kedah,Writing,Silver,9,4652,Books,8/15/2023,Credit Card,0
30212,61,Male,Putrajaya,Information Technology,Bronze,5,1455,Home,4/12/2023,TnG,0
30213,68,Female,Selangor,Photography,Gold,3,2549,Clothing,3/20/2023,TnG,0
30214,50,Male,Pahang,Engineering,Platinum,7,2519,Books,6/2/2023,Credit Card,0
30218,34,Male,Kuala Lumpur,Event Planning,Bronze,9,6704,Home,5/15/2023,Credit Card,0
30219,67,Female,Kelantan,Arts,Silver,11,8811,Books,6/4/2023,Credit Card,0
30220,47,Female,Penang,Student,Platinum,5,2930,Books,3/11/2023,Cash,0
30222,28,Female,Putrajaya,Fitness,Gold,3,276,Clothing,8/6/2023,Credit Card,0
30223,36,Male,Sarawak,Medicine,Silver,4,860,Electronics,6/2/2023,Credit Card,0
30224,69,Female,Malacca,Real Estate,Silver,4,5600,Home,9/10/2023,Credit Card,0
30227,29,Female,Malacca,Piloting,Gold,2,2303,Home,7/28/2023,TnG,0
30228,60,Female,Johor,Information Technology,Gold,3,4063,Books,8/31/2023,Credit Card,0
30230,52,Female,Sarawak,Entrepreneurship,Silver,4,5258,Clothing,8/31/2023,Credit Card,0
30231,48,Female,Perak,Event Planning,Silver,14,10541,Electronics,9/3/2023,Credit Card,0
30232,42,Male,Malacca,Writing,Gold,7,4265,Clothing,7/28/2023,Credit Card,1
30233,65,Male,Malacca,Dentistry,Silver,6,8727,Books,8/25/2023,Credit Card,0
30234,65,Female,Johor,Law Enforcement,Bronze,8,6136,Clothing,6/27/2023,Credit Card,1
30235,28,Female,Johor,Social Work,Silver,9,8767,Books,5/27/2023,Credit Card,1
30236,40,Male,Penang,Social Work,Platinum,3,5404,Electronics,8/19/2023,Credit Card,0
30237,47,Male,Sarawak,Customer Service,Bronze,5,9020,Home,4/23/2023,Credit Card,0
30239,62,Female,Perak,Writing,Gold,10,5084,Electronics,5/18/2023,Credit Card,0
30244,67,Male,Perak,Medicine,Platinum,2,5197,Books,3/28/2023,Credit Card,0
30246,29,Female,Kedah,Event Planning,Gold,5,1382,Electronics,4/30/2023,Credit Card,0
30247,23,Female,Perak,Social Work,Silver,5,1197,Books,5/31/2023,Credit Card,0
30249,49,Female,Kedah,Education,Platinum,2,2368,Home,4/15/2023,Credit Card,0
30252,45,Male,Perlis,Finance,Gold,9,5489,Books,4/15/2023,Credit Card,0
30254,62,Female,Perlis,Pharmacy,Silver,10,13061,Books,6/15/2023,Credit Card,1
30255,67,Male,Putrajaya,Finance,Platinum,4,941,Home,3/29/2023,Credit Card,0
30256,28,Female,Sabah,Marketing,Silver,9,2752,Home,5/2/2023,Cash,0
30259,52,Female,Kedah,Business Analysis,Gold,3,3187,Clothing,3/2/2023,TnG,1
